Id,Text,Type
00121,"[Call](สวัสดีค่ะ ดิฉันโทรจากธนาคารแห่งประเทศไทยค่ะ ขณะนี้บัญชีของคุณมีการทำธุรกรรมที่ผิดปกติค่ะ) [User](จริงเหรอครับ? ผมไม่ได้ทำธุรกรรมอะไรเลยนะ) [Call](ค่ะ เราตรวจพบการโอนเงินจำนวน 100,000 บาท ไปยังบัญชีในต่างประเทศค่ะ คุณยืนยันว่าคุณไม่ได้ทำรายการนี้ใช่ไหมคะ?) [User](ใช่ครับ ผมไม่ได้ทำ) [Call](ในกรณีนี้ เราจำเป็นต้องยืนยันตัวตนของคุณเพื่อป้องกันการถูกแฮ็กค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนและวันเดือนปีเกิดของคุณค่ะ) [User](เอ่อ... ได้ครับ หมายเลขบัตรประชาชนคือ 1234567890123 วันเกิด 1 มกราคม 2530) [Call](ขอบคุณค่ะ ตอนนี้เราจะส่งรหัส OTP ไปยังหมายเลขโทรศัพท์ของคุณ กรุณาแจ้งรหัสนั้นให้เราทราบค่ะ) [User](ได้รับแล้วครับ รหัสคือ 654321) [Call](ขอบคุณค่ะ ขณะนี้เรากำลังดำเนินการป้องกันบัญชีของคุณค่ะ)",Scam
00122,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ ขณะนี้คุณมีสิทธิ์ได้รับเงินคืนภาษีจำนวน 20,000 บาทครับ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัญชีธนาคารและรหัสผ่านเพื่อให้เราสามารถโอนเงินคืนให้คุณได้ครับ) [User](เอ่อ... ผมไม่แน่ใจว่าควรให้ข้อมูลนี้หรือไม่) [Call](หากคุณไม่ให้ข้อมูลภายใน 24 ชั่วโมง คุณจะเสียสิทธิ์ในการรับเงินคืนนะครับ)",Scam
00123,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00124,"[Call](สวัสดีค่ะ ดิฉันโทรจากสำนักงานตำรวจแห่งชาติค่ะ ขณะนี้คุณมีหมายจับเนื่องจากเกี่ยวข้องกับการฟอกเงินค่ะ) [User](อะไรนะครับ? ผมไม่เคยทำอะไรผิดเลย) [Call](หากคุณต้องการยกเลิกหมายจับ กรุณาโอนเงินค่าธรรมเนียม 30,000 บาทภายในวันนี้ค่ะ) [User](ผมต้องโอนไปที่ไหนครับ?) [Call](กรุณาโอนไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพค่ะ)",Scam
00125,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทประกันชีวิตค่ะ คุณมีสิทธิ์ได้รับกรมธรรม์ฟรีค่ะ) [User](จริงเหรอครับ? ผมต้องทำอย่างไรบ้าง) [Call](กรุณาแจ้งหมายเลขบัตรประชาชนและบัญชีธนาคารเพื่อดำเนินการค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123 บัญชีธนาคารคือ 987-654321-0) [Call](ขอบคุณค่ะ เราจะดำเนินการให้คุณทันทีค่ะ)",Scam
00126,"[Call](สวัสดีครับ ผมโทรจากธนาคารกสิกรไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00127,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทโทรคมนาคมค่ะ คุณมีสิทธิ์ได้รับโปรโมชั่นพิเศษค่ะ) [User](โปรโมชั่นอะไรครับ?) [Call](คุณจะได้รับอินเทอร์เน็ตไม่จำกัดในราคาเพียง 99 บาทต่อเดือนค่ะ กรุณาแจ้งหมายเลขบัตรประชาชนเพื่อสมัครค่ะ) [User](หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการสมัครให้คุณทันทีค่ะ)",Scam
00128,"[Call](สวัสดีครับ ผมโทรจากกรมสรรพากรครับ คุณมีภาษีค้างชำระจำนวน 15,000 บาทครับ) [User](จริงเหรอครับ? ผมไม่เคยได้รับแจ้งมาก่อน) [Call](หากคุณไม่ชำระภาษีภายใน 3 วัน คุณจะถูกดำเนินคดีครับ กรุณาโอนเงินไปยังบัญชีหมายเลข 123-456789-0 ธนาคารกรุงเทพครับ)",Scam
00129,"[Call](สวัสดีค่ะ ดิฉันโทรจากบริษัทขนส่งค่ะ พัสดุของคุณถูกส่งผิดที่ค่ะ) [User](โอ้ จริงเหรอครับ? แล้วผมต้องทำอย่างไร) [Call](กรุณาแจ้งที่อยู่ใหม่และหมายเลขบัตรประชาชนเพื่อยืนยันตัวตนค่ะ) [User](ที่อยู่ใหม่คือ 123 ถนนสุขสันต์ เขตบางกอกใหญ่ กรุงเทพฯ 10600 หมายเลขบัตรประชาชนคือ 1234567890123) [Call](ขอบคุณค่ะ เราจะดำเนินการส่งพัสดุให้คุณใหม่ค่ะ)",Scam
00130,"[Call](สวัสดีครับ ผมโทรจากธนาคารกรุงไทยครับ บัญชีของคุณมีการใช้งานผิดปกติครับ) [User](จริงเหรอครับ? ผมควรทำอย่างไร) [Call](กรุณาแจ้งรหัสผ่านของคุณเพื่อให้เราตรวจสอบและป้องกันการถูกแฮ็กครับ) [User](รหัสผ่านคือ mypassword123) [Call](ขอบคุณครับ เราจะดำเนินการตรวจสอบให้ทันทีครับ)",Scam
00130,"[Call](เฮ้ ช่วงนี้เป็นยังไงบ้าง ไม่ได้เจอกันนานเลยนะ) [User](ก็เรื่อย ๆ แหละ งานยุ่งนิดหน่อย แล้วนายล่ะ?) [Call](เหมือนกันเลย งานถล่มหัว แต่ดีใจที่มีเวลาคุยบ้าง) [User](ใช่เลย วันก่อนยังคิดถึงสมัยเรียนอยู่เลย) [Call](คิดถึงแก๊งตอนม.6 ใช่ปะ?) [User](ใช่ ฮาเฮกันทุกวัน ไม่มีอะไรเครียดเลย) [Call](พรุ่งนี้ว่างมั้ย ไปกินหมูกระทะกัน) [User](ว่างดิ นัดกี่โมง?) [Call](สัก 6 โมงเย็นที่ร้านเดิมนะ) [User](โอเค เจอกันนะ)",General
00131,"[Call](สวัสดีค่ะ โทรจากสำนักงานประกันสังคมนะคะ ขอแจ้งสิทธิ์ของคุณเกี่ยวกับเงินชดเชยกรณีว่างงานค่ะ) [User](อ๋อครับ ได้สิทธิ์อะไรบ้างครับ?) [Call](คุณมีสิทธิได้รับเงินชดเชย 50% ของรายได้เดือนสุดท้าย เป็นเวลาไม่เกิน 180 วันค่ะ) [User](แล้วผมต้องดำเนินการยังไงบ้างครับ?) [Call](กรุณายื่นเอกสารผ่านระบบ e-Service และแนบสำเนาบัตรประชาชนพร้อมแบบฟอร์มรับรองการลาออกค่ะ) [User](ขอผมจดลิงก์หน่อยครับ) [Call](ได้เลยค่ะ เข้าเว็บ www.sso.go.th แล้วไปที่เมนู “ว่างงาน” ค่ะ) [User](ขอบคุณมากครับ)",Official
00132,"[Call](Your account verification is required to proceed with login on a new device. Are you attempting to login?) [User](Yes, I just tried from my new phone.) [Call](Thank you. Please confirm the 6-digit code we just sent via SMS to your registered number ending in 88.) [User](The code is 781245.) [Call](Thank you. The verification is successful. You may now continue using your account securely.)",Verification-call
00133,"[Call](เสียงแตกมากเลยครับ ได้ยินไหม?) [User](ได้ยินเป็นบางคำน่ะครับ พูดอีกทีได้ไหม?) [Call](ผมบอกว่าผมอยู่หน้าร้านแล้วครับ) [User](ร้านไหนนะ?) [Call](ร้านกาแฟตรงปากซอยอ่ะครับ ตรงที่มีป้ายสีแดง) [User](อ๋อ โอเค เดี๋ยวผมเดินออกไปนะ)",Unknow
00134,"[Call](วันนี้มีประชุมงานโปรเจกต์ที่ชั้น 5 ใช่มั้ย?) [User](ใช่ครับ เริ่มบ่ายสองตามที่แจ้งในเมล) [Call](ผมยังไม่ได้รับลิงก์ Zoom เลยนะ) [User](น่าจะอยู่ในอีเมลจากฝ่าย HR ลองเช็คดูครับ) [Call](โอเคครับ ถ้าไม่เจอเดี๋ยวรบกวนส่งให้นะ) [User](ได้เลยครับ เดี๋ยวผมส่งให้อีกที)",General
00135,"[Call](สวัสดีครับ สำนักงานเขตพระนคร โทรมาแจ้งเรื่องการเปลี่ยนเวลาตัดน้ำชั่วคราวครับ) [User](อ๋อครับ แล้วจะตัดช่วงไหนครับ?) [Call](ในคืนวันเสาร์นี้ตั้งแต่เวลา 22.00 น. ถึงเช้าวันอาทิตย์เวลา 06.00 น. ครับ) [User](โอเคครับ จะได้เตรียมตัวไว้ ขอบคุณนะครับ) [Call](ยินดีครับ แจ้งเพื่อให้ประชาชนไม่ลำบากครับ)",Official
00136,"[Call](This is a security confirmation call. Someone just tried to reset your account password.) [User](That wasn't me. What should I do?) [Call](Your account has been temporarily locked. We need you to verify your identity.) [User](How do I do that?) [Call](Please confirm your date of birth and the last 4 digits of your ID.) [User](1 Jan 1995, and the last 4 digits are 1234.) [Call](Thank you. You will receive an OTP shortly to your mobile.) [User](Got it. It's 998877.) [Call](Verification complete. Your account is secure now.)",Verification-call
00137,"[Call](เธอถึงที่นัดหรือยัง?) [User](ยังเลย รถติดมาก น่าจะอีกประมาณ 20 นาที) [Call](โอเค เดี๋ยวเราเดินหาที่นั่งรอก่อน) [User](ฝากสั่งชามะนาวให้ด้วยนะ) [Call](รับทราบ เดี๋ยวจัดให้สองแก้วเลย)",General
00138,"[Call](เสียงเบามากเลยค่ะ ได้ยินไม่ชัดเลย) [User](สัญญาณไม่ดีรึเปล่า?) [Call](อาจจะใช่ ตอนนี้อยู่บน BTS) [User](อ๋อ เข้าใจละ เดี๋ยวรอถึงสถานีแล้วโทรใหม่ก็ได้)",Unknow
00139,"[Call](โทรจากกรมควบคุมโรคนะคะ แจ้งให้คุณทราบว่าคุณเป็นผู้สัมผัสใกล้ชิดกับผู้ติดเชื้อ COVID-19 ค่ะ) [User](จริงเหรอครับ ผมต้องทำยังไง?) [Call](กรุณาเข้ารับการตรวจที่โรงพยาบาลใกล้บ้าน และงดออกจากบ้าน 5 วันค่ะ) [User](ขอบคุณที่แจ้งครับ ผมจะรีบจัดการเลยครับ)",Official
00140,"[Call](รหัสยืนยันของคุณคือ 334455 กรุณาใช้ภายใน 10 นาที) [User](รับทราบครับ กำลังกรอกอยู่เลย) [Call](ถ้าคุณไม่ได้เป็นผู้ร้องขอ ให้รีบเปลี่ยนรหัสผ่านทันทีนะครับ)",Verification-call
00140,"[Call](เฮ้ ว่างมั้ย วันนี้เรานัดกินหมูกระทะกันตอนเย็นนะ จำได้ปะ?) [User](จำได้ๆ กี่โมงนะ?) [Call](นัด 6 โมงที่ร้านประจำข้างเซเว่นอ่ะ) [User](โอเค เดี๋ยวออกจากงานแล้วตรงไปเลย) [Call](อย่าลืมเอาซอสสูตรพิเศษของแกมาด้วยนะ) [User](จัดให้ตามคำขอ)",General
00141,"[Call](สวัสดีครับ โทรจากธนาคารไทยพาณิชย์ ขณะนี้บัญชีของคุณมีธุรกรรมที่ไม่ปกติครับ) [User](อะไรนะครับ? รายการไหน?) [Call](มีการโอนเงิน 75,000 บาทไปยังบัญชีต่างประเทศครับ หากไม่ใช่คุณ กรุณายืนยันตัวตนโดยแจ้งหมายเลขบัตรประชาชนและรหัส OTP) [User](บัตรประชาชนคือ 1234567890123, OTP คือ 994477) [Call](ขอบคุณครับ ขณะนี้เราจะระงับธุรกรรมให้ทันที)",Scam
00142,"[Call](แก พรุ่งนี้ว่างไหม ไปเดินเล่นที่ตลาดนัดรถไฟกัน) [User](ว่างๆ นี่อยากไปอยู่พอดี) [Call](เดี๋ยวเรานัดกันที่ MRT ห้วยขวางตอนบ่ายสามนะ) [User](ได้เลย ไปกินนมเย็นด้วยกันนะ) [Call](จัดไป)",General
00143,"[Call](สวัสดีค่ะ จากกรมศุลกากร แจ้งว่าคุณมีพัสดุตกค้างจากต่างประเทศ ถ้าไม่ดำเนินการจะถูกทำลาย) [User](ผมไม่ได้สั่งของจากต่างประเทศเลยนะครับ) [Call](ในกรณีนี้คุณต้องจ่ายค่าภาษีนำเข้าเพื่อเคลียร์พัสดุ จำนวน 3,500 บาทค่ะ โอนมาที่บัญชีตามนี้นะคะ...) [User](อ่อครับ...)",Scam
00144,"[Call](มึงว่างคืนนี้มั้ย พวกเราจะรวมตัวที่บ้านจิมตอน 3 ทุ่ม) [User](โห นาน ๆ ทีนะเนี่ย เออไปดิ) [Call](แจ้งพวกคนอื่น ๆ ด้วยละกัน เดี๋ยวเราซื้อของกินไว้รอ) [User](เจอกันๆ)",General
00145,"[Call](คุณคือผู้โชคดีได้รับสิทธิ์กู้สินเชื่อด่วนโดยไม่ต้องใช้หลักทรัพย์ค้ำประกัน) [User](จริงเหรอครับ?) [Call](ใช่ครับ แค่โอนค่าดำเนินการล่วงหน้า 2,000 บาทเข้าบัญชีนี้ แล้วจะได้รับเงินทันที) [User](ขอเช็คก่อนนะครับ...) [Call](หากคุณช้าเกินไป สิทธิ์จะหมดทันทีนะครับ)",Scam
00146,"[Call](ไปดูหนังกันปะ แถวๆ เมเจอร์รัชโยธิน มีเรื่องใหม่เข้า) [User](โอเค กี่โมงดี?) [Call](สัก 18.30 รอบแรกพอดี แล้วค่อยกินข้าวหลังหนังจบ) [User](ได้เลย เจอกันหน้าโรงนะ)",General
00147,"[Call](คุณได้รับสิทธิ์เข้าร่วมลงทุนในกองทุนพิเศษของรัฐที่ให้ผลตอบแทนสูงมากกว่า 18%) [User](กองทุนอะไรครับ?) [Call](เป็นโครงการพิเศษกับธนาคารของรัฐแต่ต้องโอนเงินลงทุนเริ่มต้น 10,000 บาทวันนี้เท่านั้น) [User](ดูน่าสนใจนะครับ ขอรายละเอียดเพิ่มเติมหน่อย) [Call](ขอโทษค่ะ โครงการนี้จำกัดจำนวน ต้องรีบโอนเพื่อยืนยันสิทธิ์นะคะ)",Scam
00148,"[Call](เห้ย ไอ้เหี้* แกหายหัวไปไหนวะ ไม่เจอเป็นชาติแล้วนะ) [User](กูทำงานโว้ย วันๆ ไม่ได้แตะโทรศัพท์เลย) [Call](ไอ้สัส นัดแดกเหล้าหน่อย วันศุกร์นี้บ้านเดิมนะ) [User](เออ ๆ เดี๋ยวกูไป ไม่เมาไม่กลับ) [Call](ตามนั้นเลยมึง!)",General
00149,"[Call](ขอแจ้งว่าคุณมีสิทธิ์ในการเข้าร่วมโครงการ “รวยทันใจ” รับเงิน 200,000 บาทภายใน 24 ชั่วโมง) [User](เฮ้ย จริงเหรอ?) [Call](แค่คุณโอนค่าลงทะเบียน 1,999 บาทตอนนี้ ก็รับเงินได้เลยครับ) [User](มันดูแปลก ๆ ว่ะ) [Call](ถ้าไม่รีบ สิทธิ์คุณจะโดนตัดนะครับ อย่ามัวแต่คิด)",Scam
00150,"[Call](เฮ้ พวกแม่งไปเตะบอลกันเย็นนี้ สนามเดิมนะ 5 โมง) [User](โอเค ๆ วันนี้กูว่างพอดี) [Call](เอารองเท้ามาด้วยนะเว้ย อย่าใส่แตะอีก กูขำไม่ไหว) [User](ไอ้เหี้* วันนั้นลืมจริง ๆ ครับพี่)",General
00151,"[Call](คุณได้รับเลือกจากระบบให้รับ iPhone 15 Pro Max ฟรี) [User](ไรวะ อยู่ ๆ โทรมาแจกของเฉยเลย?) [Call](เพียงโอนค่าจัดส่ง 990 บาทเข้าบัญชีนี้ แล้วเราจะส่งของให้ทันที) [User](แม่งโคตรน่าสงสัยเลยว่ะ...) [Call](ของมีจำนวนจำกัดนะคะ รีบโอนนะ)",Scam
00152,"[Call](ไปเจอกันร้านเหล้าริมน้ำป่ะคืนนี้ เบียร์ลดเหลือขวดละ 60 เอง) [User](สัส แล้วไม่ชวนแต่แรก) [Call](นัดโต๊ะไว้แล้ว เอาแต่ตัวกับตังค์มาก็พอ) [User](ตังค์ไม่มี แต่ตัวกูจัดไปเต็มๆ)",General
00153,"[Call](แจ้งจากหน่วยปราบปรามฟอกเงิน คุณมีรายการโอนผิดกฎหมาย) [User](ไรวะเนี่ย ผมไม่ได้ทำอะไรเลยนะ) [Call](ต้องชำระเงินตรวจสอบบัญชี 3,000 บาททันที) [User](แม่งดูไม่ชอบมาพากลเลยว่ะ) [Call](หากไม่ดำเนินการ คุณจะถูกดำเนินคดีตามกฎหมาย)",Scam
00154,"[Call](พวกแม่งนัดรวมตัวอีกแล้วที่บ้านนัท บอกว่าจะมีหมูกระทะโคตรอลัง) [User](เออ กูจะไปแน่นอน อย่าลืมแจ้งพวกเด็กเก่าด้วยล่ะ) [Call](สัส กูบอกหมดแล้ว จัดเต็มแน่คืนนี้)",General
00155,"[Call](โทรแจ้งจากธนาคารแห่งหนึ่ง บัญชีคุณมีธุรกรรมเข้าข่ายผิดปกติ) [User](จริงเหรอครับ?) [Call](กรุณาแจ้งข้อมูลบัตรเครดิตและ CVV เพื่อทำการอายัดชั่วคราว) [User](โห นี่แม่งหลอกกันชัด ๆ เลย...) [Call](ถ้าไม่ให้ เราจะระงับบัญชีคุณเดี๋ยวนี้)",Scam
00156,"[Call](คุณได้รับรางวัลเป็นทองคำหนัก 1 บาท) [User](เหี้ยละ โทรมาแหกตาชัดๆ เลยวะ) [Call](รีบโอนค่าธรรมเนียม 499 บาทสิ เดี๋ยวพลาดของฟรีจะมานั่งเสียใจทีหลังนะ)",Scam
00157,"[Call](วันนี้มีเวลามาเจอกันที่ร้านกาแฟแถวบ้านป่าว?) [User](ได้สิ อยากกินเค้กพอดีเลย นัดกี่โมง?) [Call](ช่วงบ่ายสองดีไหม จะได้ไม่ร้อนมาก) [User](โอเค แล้วเจอกันนะ)",General
00158,"[Call](โทรจากสำนักงานเขตนะคะ แจ้งว่าพรุ่งนี้จะมีการตัดน้ำชั่วคราวนะคะ) [User](อีกแล้วเหรอวะเนี่ย เดือนที่แล้วก็ตัด) [Call](ขออภัยจริงๆ นะคะ ทางเราจะรีบดำเนินการให้เร็วที่สุดค่ะ)",Official
00159,"[Call](ธนาคารตรวจสอบพบการเข้าบัญชีของคุณจากต่างประเทศ ต้องการยืนยันตัวตนด่วน) [User](จริงเหรอครับ แล้วผมต้องทำยังไง?) [Call](กรุณาแจ้งรหัส OTP ที่ส่งไปทาง SMS เพื่อดำเนินการค่ะ)",Scam
00160,"[Call](เฮ้ ไอ้สัส คืนนี้มาดูบอลบ้านกูเปล่า?) [User](จัดดิ คู่ไหนวะ?) [Call](แมนยูกับลิเวอร์พูล ศึกแดงเดือดของจริง!) [User](กูพลาดไม่ได้แน่นอน เดี๋ยวเจอกัน)",General
00161,"[Call](โทรจากสำนักงานประกันสังคมนะคะ ขอยืนยันสิทธิ์รักษาพยาบาลของคุณค่ะ) [User](ครับ ๆ ผมยังมีสิทธิ์ครบใช่ไหมครับ?) [Call](ใช่ค่ะ คุณยังมีสิทธิ์ใช้ได้เต็มที่เลยค่ะ)",Official
00162,"[Call](คุณคือผู้โชคดีได้เข้าร่วมลงทุนเงินดิจิทัล กำไร 100% ในหนึ่งเดือน) [User](แม่งหลอกอีกแล้ว ไอ้พวกเวรนี่) [Call](ลงทุนแค่ 5000 บาท ได้เงินคืน 10000 บาทแน่นอน รีบตัดสินใจ)",Scam
00163,"[Call](วันหยุดนี้ไปปั่นจักรยานที่สวนลุมกันไหม) [User](น่าสนุกดีนะ เจอกันกี่โมง?) [Call](สักเจ็ดโมงเช้า จะได้ไม่ร้อนมาก) [User](ได้เลย)",General
00164,"[Call](จากสำนักงานตำรวจแห่งชาติ แจ้งว่ารถของคุณโดนใบสั่งค้างชำระค่ะ) [User](อีกแล้วเหรอวะ ทำไมเยอะจังวะเนี่ย) [Call](เช็คข้อมูลในระบบแล้ว พบว่ามีใบสั่งค้างอยู่ 3 ใบค่ะ)",Official
00165,"[Call](บัญชีธนาคารของคุณถูกใช้งานที่ต่างประเทศ กรุณายืนยันตัวตนโดยด่วนค่ะ) [User](ผมไม่เคยใช้ที่ต่างประเทศนะครับ) [Call](กรุณาแจ้งข้อมูลบัตรและรหัส OTP ให้เราด่วนค่ะ)",Scam
00166,"[Call](พวกมึงคืนนี้ปาร์ตี้หนักๆ บ้านไอ้เจมส์นะเว้ย) [User](เหี้ยละ รอบนี้กูไม่พลาดแน่นอน) [Call](ซื้อของมาเยอะ ๆ เลยนะ)",General
00167,"[Call](กรมสรรพากรแจ้งให้คุณยื่นภาษีเพิ่มเติมนะคะ) [User](ต้องทำยังไงบ้างครับ?) [Call](เข้าเว็บไซต์ยื่นออนไลน์หรือที่สำนักงานก็ได้ค่ะ)",Official
00168,"[Call](คุณได้รับสิทธิ์กู้เงินดอกเบี้ยต่ำ รีบสมัครเลย) [User](มาอีกแล้วเหรอวะเนี่ย?) [Call](แค่ส่งเอกสารสำเนาบัตรประชาชนก็ได้รับเงินทันที)",Scam
00169,"[Call](ว่างมั้ยวันนี้ ไปกินบุฟเฟ่ต์ชาบูกัน) [User](ไอ้สัส เพิ่งชวนตอนนี้เลยเหรอวะ?) [Call](กูเพิ่งนึกได้ ร้านเปิดใหม่กำลังดัง)",General
00170,"[Call](สำนักงานขนส่งแจ้งว่ารถของคุณใกล้หมดภาษีค่ะ) [User](ขอบคุณมากครับ จะรีบดำเนินการทันที)",Official
00171,"[Call](คุณมีสิทธิ์ลุ้นรับรถยนต์ฟรี แค่โอนค่าดำเนินการ 1,000 บาท) [User](ของฟรีอะไรมีค่าดำเนินการด้วยวะ?) [Call](ถ้าอยากได้รถฟรี รีบโอนมาเลยค่ะ)",Scam
00172,"[Call](ไปเดินห้างกันมั้ย อยากซื้อรองเท้าใหม่) [User](กี่โมงดีวะ?) [Call](สักบ่ายสามโมง กำลังดี)",General
00173,"[Call](กรมควบคุมโรคแจ้งเตือนเกี่ยวกับโรคระบาดใหม่ค่ะ โปรดระวังตัวด้วยนะคะ)",Official
00174,"[Call](คุณมีพัสดุตกค้าง รีบจ่ายค่าธรรมเนียมไม่งั้นของจะโดนทำลาย) [User](ไอ้นี่แม่งหลอกลวงชัด ๆ)",Scam
00175,"[Call](มึงเห็นละครเรื่องใหม่ช่องสามยังวะ? แม่งสนุกชิบหาย)",General
00176,"[Call](คุณได้รับสิทธิ์พิเศษลงทุนกับแพลตฟอร์มใหม่ กำไรวันละ 10%) [User](แม่งฟังดูเวอร์สัสๆ) [Call](โอนขั้นต่ำแค่ 1,000 บาท วันนี้เท่านั้น!)",Scam
00177,"[Call](เย็นนี้ไปเตะบอลกันมั้ย เดี๋ยวรวมแก๊งไว้ครบเลย) [User](ไปดิ กูไม่ได้ขยับตัวมาเป็นเดือนละ)",General
00178,"[Call](เรียนแจ้งจากสำนักงานเขต พรุ่งนี้จะมีการฉีดพ่นยุงลายในพื้นที่นะคะ) [User](โอเคครับ จะได้เตรียมปิดหน้าต่างไว้ล่วงหน้า)",Official
00179,"[Call](สวัสดีค่ะ คุณได้รับแจ้งเตือนจากระบบว่า LINE ของคุณถูกใช้งานจากอีกอุปกรณ์หนึ่ง) [User](เดี๋ยวๆ ผมไม่ได้ล็อกอินจากที่อื่นเลย) [Call](กรุณายืนยันตัวตนโดยแจ้ง OTP ตอนนี้ค่ะ)",Scam
00180,"[Call](ไอ้สัส คืนนี้ร้านเบียร์เปิดใหม่แถวซอยเก่า ไปลองกันไหม?) [User](ไปดิ กูคอแห้งมา 3 วันละ)",General
00181,"[Call](จากการตรวจสอบสิทธิ์บัตรสวัสดิการแห่งรัฐ คุณมีสิทธิได้รับเงินเพิ่มเดือนนี้นะคะ)",Official
00182,"[Call](ขอแจ้งว่าคุณมีสิทธิ์ได้รับค่าชดเชยจากการโดนฟ้องเท็จ จำนวน 200,000 บาท) [User](ห้ะ? จริงเหรอครับ) [Call](กรุณาโอนค่าดำเนินการ 1,500 บาทภายใน 3 ชั่วโมง)",Scam
00183,"[Call](ไปดูคอนเสิร์ตไหมเว้ย อาทิตย์นี้ที่อิมแพคฯ มีวงโปรดมึงขึ้นโชว์) [User](มึงพูดมาแบบนี้กูก็ต้องไปละไง)",General
00184,"[Call](สำนักงานขนส่งโทรแจ้งเรื่องกำหนดตรวจสภาพรถประจำปีนะคะ)",Official
00185,"[Call](คุณได้รับคูปองทองคำจากโครงการแจกฟรีทั่วประเทศ รีบยืนยันสิทธิ์ก่อนหมดเวลา) [User](เดี๋ยวนี้มันมีแจกทองมั่วขนาดนี้เลยเหรอวะ)",Scam
00186,"[Call](เย็นนี้แกงค์เรานัดรวมตัว เล่นบอร์ดเกมที่ร้านเดิม ไปปะ?) [User](ไปดิ แม่งโคตรคิดถึงบรรยากาศวันศุกร์)",General
00187,"[Call](จากกรมบัญชีกลาง แจ้งว่าท่านมีสิทธิได้รับเงินเยียวยาเพิ่มเติมจากสถานการณ์น้ำท่วม)",Official
00188,"[Call](คุณถูกรางวัลพิเศษล็อตเตอรี่รัฐบาลชุดพิเศษ! รีบยืนยันสิทธิ์ด้วยการโอนเงินภายใน 30 นาที) [User](สัส ล็อตเตอรี่ยังไม่ได้ซื้อเลย โทรมาหลอกเหี้ยไรเนี่ย)",Scam
00189,"[Call](ไปค่ายกับพวกมันอาทิตย์หน้าไหม? ปีที่แล้วโคตรสนุก) [User](ได้ดิ ขอแค่ไม่ให้มีวิ่ง 5 โมงเช้าแบบปีที่แล้วพอ)",General
00190,"[Call](โทรจากสาธารณสุขจังหวัด แจ้งการลงทะเบียนวัคซีนรอบใหม่สำหรับผู้มีโรคประจำตัว)",Official
00191,"[Call](ขอแจ้งว่าหมายเลขของคุณมีการลงทะเบียนซ้ำ หากไม่ยืนยันจะถูกตัดสิทธิ์ทั้งหมด) [User](แม่งโกหกทั้งเพ... ไม่หลงกลละ)",Scam
00192,"[Call](เฮ้ย! พรุ่งนี้สอบแล้วนะเว้ย อ่านยัง?) [User](กูเพิ่งเริ่มเมื่อวาน สัส อย่ากดดัน)",General
00193,"[Call](แจ้งจากสำนักงานอำเภอ เรื่องการแจกจ่ายบัตรคนจนรอบใหม่ กรุณาเตรียมเอกสารให้พร้อม)",Official
00194,"[Call](สวัสดีค่ะ คุณมีสิทธิได้รับบ้านฟรีจากโครงการเฉพาะกิจ แต่ต้องโอนค่ามัดจำก่อนนะคะ) [User](มัดจำบ้านฟรี? สัส มึงคิดว่ากูจะเชื่อมึงเหรอ)",Scam
00195,"[Call](ไปทะเลกันเถอะ! กูจองที่พักไว้ละ แค่แบกตัวไปพอ) [User](กูพร้อมเสมอ ขอแค่ไม่ใช่หาดที่เคยโดนเหยียบหอยทะเลอีกก็พอ)",General
